angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.0,0.16,,,[147  89  70  70],[382  46  94  94],,,0.0,0.0,,,0.0,0.02,,,0.18,0.28,,,0.8,0.43,,,0.01,0.03,,,0.0,0.08,,
0.01,0.08,,,[147  89  71  71],[382  46  96  96],,,0.0,0.0,,,0.01,0.05,,,0.37,0.17,,,0.6,0.09,,,0.01,0.04,,,0.0,0.57,,
0.01,0.06,,,[148  88  71  71],[382  46  96  96],,,0.0,0.0,,,0.01,0.02,,,0.21,0.33,,,0.76,0.06,,,0.01,0.03,,,0.0,0.5,,
0.01,0.02,,,[150  89  70  70],[382  45  98  98],,,0.0,0.0,,,0.01,0.0,,,0.28,0.67,,,0.69,0.07,,,0.01,0.01,,,0.0,0.23,,
0.01,0.01,,,[150  89  70  70],[383  47  96  96],,,0.0,0.0,,,0.01,0.0,,,0.3,0.9,,,0.67,0.05,,,0.01,0.0,,,0.0,0.04,,
0.0,0.01,,,[151  88  70  70],[385  49  93  93],,,0.0,0.0,,,0.0,0.0,,,0.48,0.85,,,0.51,0.13,,,0.0,0.0,,,0.0,0.01,,
0.01,0.02,,,[150  88  71  71],[386  49  95  95],,,0.0,0.0,,,0.0,0.0,,,0.47,0.57,,,0.51,0.4,,,0.01,0.01,,,0.0,0.0,,
0.01,0.01,,,[389  50  92  92],[150  88  70  70],,,0.0,0.0,,,0.0,0.01,,,0.7,0.28,,,0.28,0.69,,,0.01,0.01,,,0.0,0.0,,
0.01,0.01,,,[150  88  71  71],[389  50  94  94],,,0.0,0.0,,,0.01,0.0,,,0.55,0.7,,,0.41,0.28,,,0.01,0.01,,,0.01,0.0,,
0.01,0.01,,,[392  50  93  93],[150  88  70  70],,,0.0,0.0,,,0.0,0.0,,,0.78,0.44,,,0.2,0.54,,,0.0,0.01,,,0.0,0.01,,
0.0,0.0,,,[149  88  71  71],[394  52  91  91],,,0.0,0.0,,,0.0,0.0,,,0.53,0.94,,,0.44,0.04,,,0.01,0.0,,,0.01,0.02,,
0.0,0.0,,,[150  89  69  69],[394  51  94  94],,,0.0,0.0,,,0.0,0.0,,,0.57,0.94,,,0.41,0.04,,,0.01,0.0,,,0.0,0.02,,
0.11,0.0,0.0,,[409  99  64  64],[150  90  69  69],[397  52  92  92],,0.03,0.0,0.0,,0.06,0.0,0.0,,0.37,0.88,0.94,,0.23,0.1,0.03,,0.06,0.01,0.0,,0.14,0.0,0.02,
0.0,0.0,,,[395  52  96  96],[148  89  71  71],,,0.0,0.0,,,0.0,0.0,,,0.97,0.87,,,0.02,0.12,,,0.0,0.01,,,0.01,0.0,,
0.0,0.01,,,[148  90  69  69],[398  55  91  91],,,0.0,0.0,,,0.0,0.0,,,0.83,0.84,,,0.16,0.15,,,0.01,0.0,,,0.0,0.0,,
0.0,0.01,,,[144  88  72  72],[397  56  93  93],,,0.0,0.0,,,0.0,0.0,,,0.81,0.72,,,0.18,0.27,,,0.0,0.01,,,0.0,0.0,,
0.0,0.01,,,[143  87  73  73],[397  56  93  93],,,0.0,0.0,,,0.0,0.0,,,0.8,0.57,,,0.19,0.4,,,0.0,0.02,,,0.0,0.0,,
0.0,0.01,,,[141  87  73  73],[395  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.88,0.66,,,0.11,0.32,,,0.0,0.01,,,0.0,0.0,,
0.0,0.02,,,[142  87  73  73],[394  55  96  96],,,0.0,0.0,,,0.0,0.0,,,0.92,0.82,,,0.08,0.13,,,0.0,0.01,,,0.0,0.02,,
0.0,0.01,,,[142  87  73  73],[394  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.95,0.82,,,0.05,0.15,,,0.0,0.01,,,0.0,0.01,,
0.0,0.01,,,[143  87  73  73],[392  55  96  96],,,0.0,0.0,,,0.0,0.0,,,0.95,0.82,,,0.05,0.17,,,0.0,0.0,,,0.0,0.0,,
0.0,0.01,,,[143  87  72  72],[393  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.97,0.72,,,0.03,0.27,,,0.0,0.0,,,0.0,0.0,,
0.0,0.01,,,[144  88  72  72],[392  55  95  95],,,0.0,0.0,,,0.0,0.0,,,0.97,0.75,,,0.03,0.24,,,0.0,0.0,,,0.0,0.0,,
0.0,0.01,,,[146  89  71  71],[392  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.93,0.76,,,0.07,0.23,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[146  88  70  70],[392  57  93  93],,,0.0,0.0,,,0.0,0.0,,,0.93,0.76,,,0.07,0.23,,,0.0,0.0,,,0.0,0.0,,
0.0,0.01,,,[146  88  71  71],[391  55  95  95],,,0.0,0.0,,,0.0,0.0,,,0.97,0.68,,,0.03,0.3,,,0.0,0.0,,,0.0,0.0,,
0.0,0.01,,,[145  88  72  72],[391  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.96,0.77,,,0.04,0.22,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[145  88  72  72],[391  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.95,0.92,,,0.05,0.07,,,0.0,0.0,,,0.0,0.0,,
0.0,0.01,,,[145  88  72  72],[390  54  95  95],,,0.0,0.0,,,0.0,0.0,,,0.96,0.9,,,0.04,0.05,,,0.0,0.0,,,0.0,0.03,,
0.0,0.03,,,[145  88  72  72],[389  54  96  96],,,0.0,0.0,,,0.0,0.0,,,0.97,0.82,,,0.03,0.05,,,0.0,0.01,,,0.0,0.1,,
0.01,0.0,,,[388  55  95  95],[145  88  72  72],,,0.0,0.0,,,0.0,0.0,,,0.91,0.97,,,0.05,0.03,,,0.0,0.0,,,0.03,0.0,,
0.0,0.05,,,[146  89  71  71],[389  56  93  93],,,0.0,0.0,,,0.0,0.0,,,0.97,0.06,,,0.03,0.86,,,0.0,0.02,,,0.0,0.0,,
0.0,0.07,,,[146  89  71  71],[389  56  93  93],,,0.0,0.0,,,0.0,0.0,,,0.97,0.04,,,0.03,0.86,,,0.0,0.03,,,0.0,0.0,,
0.0,0.04,,,[145  88  73  73],[389  56  93  93],,,0.0,0.0,,,0.0,0.0,,,0.96,0.08,,,0.04,0.85,,,0.0,0.02,,,0.0,0.01,,
0.0,0.03,,,[145  88  73  73],[389  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.95,0.22,,,0.05,0.72,,,0.0,0.02,,,0.0,0.0,,
0.0,0.03,,,[144  88  73  73],[389  56  93  93],,,0.0,0.0,,,0.0,0.0,,,0.96,0.06,,,0.04,0.87,,,0.0,0.02,,,0.0,0.0,,
0.0,0.02,,,[144  88  73  73],[388  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.96,0.22,,,0.04,0.74,,,0.0,0.01,,,0.0,0.01,,
0.0,0.02,,,[145  88  73  73],[388  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.95,0.29,,,0.05,0.67,,,0.0,0.01,,,0.0,0.0,,
0.0,0.0,,,[144  88  73  73],[388  57  95  95],,,0.0,0.0,,,0.0,0.0,,,0.96,0.78,,,0.04,0.21,,,0.0,0.0,,,0.0,0.0,,
0.0,0.01,,,[144  88  73  73],[389  57  94  94],,,0.0,0.0,,,0.0,0.0,,,0.95,0.37,,,0.05,0.59,,,0.0,0.02,,,0.0,0.0,,
0.0,0.01,,,[145  88  72  72],[389  56  95  95],,,0.0,0.0,,,0.0,0.0,,,0.98,0.48,,,0.01,0.49,,,0.0,0.01,,,0.0,0.0,,
0.0,0.01,,,[145  88  73  73],[389  56  95  95],,,0.0,0.0,,,0.0,0.0,,,0.97,0.48,,,0.02,0.49,,,0.0,0.01,,,0.0,0.0,,
0.0,0.01,,,[144  87  74  74],[389  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.98,0.52,,,0.02,0.46,,,0.0,0.01,,,0.0,0.0,,
0.0,0.01,,,[144  87  74  74],[388  57  94  94],,,0.0,0.0,,,0.0,0.0,,,0.98,0.73,,,0.02,0.25,,,0.0,0.01,,,0.0,0.01,,
0.0,0.01,,,[144  87  74  74],[389  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.97,0.9,,,0.03,0.05,,,0.0,0.0,,,0.0,0.03,,
0.01,0.0,,,[388  55  96  96],[144  87  74  74],,,0.0,0.0,,,0.0,0.0,,,0.87,0.96,,,0.04,0.04,,,0.0,0.0,,,0.08,0.0,,
0.02,0.0,,,[388  55  95  95],[145  88  74  74],,,0.0,0.0,,,0.0,0.0,,,0.82,0.95,,,0.07,0.04,,,0.0,0.0,,,0.09,0.0,,
0.01,0.0,,,[388  54  97  97],[145  88  73  73],,,0.0,0.0,,,0.0,0.0,,,0.91,0.93,,,0.04,0.07,,,0.0,0.0,,,0.04,0.0,,
0.0,0.01,,,[145  88  73  73],[388  54  96  96],,,0.0,0.0,,,0.0,0.0,,,0.95,0.86,,,0.05,0.06,,,0.0,0.0,,,0.0,0.07,,
0.0,0.01,,,[144  88  74  74],[388  54  96  96],,,0.0,0.0,,,0.0,0.0,,,0.96,0.86,,,0.03,0.04,,,0.0,0.0,,,0.0,0.08,,
0.0,0.05,,,[145  88  73  73],[388  55  94  94],,,0.0,0.0,,,0.0,0.0,,,0.96,0.3,,,0.03,0.6,,,0.0,0.01,,,0.0,0.04,,
0.0,0.03,,,[145  88  73  73],[389  56  93  93],,,0.0,0.0,,,0.0,0.0,,,0.97,0.06,,,0.03,0.88,,,0.0,0.02,,,0.0,0.0,,
0.0,0.02,,,[145  88  73  73],[389  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.97,0.15,,,0.02,0.81,,,0.0,0.01,,,0.0,0.01,,
0.0,0.02,,,[145  88  74  74],[388  55  95  95],,,0.0,0.0,,,0.0,0.0,,,0.97,0.58,,,0.03,0.36,,,0.0,0.0,,,0.0,0.04,,
0.0,0.01,,,[145  88  74  74],[388  55  95  95],,,0.0,0.0,,,0.0,0.0,,,0.97,0.75,,,0.02,0.16,,,0.0,0.0,,,0.0,0.07,,
0.0,0.03,,,[145  88  74  74],[388  55  95  95],,,0.0,0.0,,,0.0,0.0,,,0.97,0.45,,,0.03,0.44,,,0.0,0.01,,,0.0,0.07,,
0.0,0.06,,,[145  88  74  74],[387  55  94  94],,,0.0,0.0,,,0.0,0.01,,,0.96,0.12,,,0.03,0.76,,,0.0,0.03,,,0.0,0.03,,
0.0,0.05,,,[145  88  73  73],[388  56  94  94],,,0.0,0.0,,,0.0,0.0,,,0.97,0.09,,,0.03,0.83,,,0.0,0.03,,,0.0,0.0,,
0.0,0.07,,,[145  88  73  73],[387  55  94  94],,,0.0,0.0,,,0.0,0.0,,,0.97,0.04,,,0.03,0.85,,,0.0,0.03,,,0.0,0.0,,
0.0,0.02,,,[145  88  73  73],[388  56  93  93],,,0.0,0.0,,,0.0,0.01,,,0.98,0.28,,,0.02,0.63,,,0.0,0.02,,,0.0,0.04,,
0.0,0.02,,,[145  88  73  73],[388  55  95  95],,,0.0,0.0,,,0.0,0.0,,,0.98,0.26,,,0.02,0.69,,,0.0,0.02,,,0.0,0.01,,
0.0,0.04,,,[144  88  74  74],[389  55  94  94],,,0.0,0.0,,,0.0,0.01,,,0.97,0.17,,,0.02,0.73,,,0.0,0.02,,,0.0,0.02,,
0.06,0.0,,,[389  55  94  94],[144  88  74  74],,,0.0,0.0,,,0.01,0.0,,,0.11,0.98,,,0.78,0.02,,,0.03,0.0,,,0.03,0.0,,
0.0,0.06,,,[144  88  74  74],[390  55  93  93],,,0.0,0.0,,,0.0,0.01,,,0.97,0.08,,,0.02,0.77,,,0.0,0.02,,,0.0,0.05,,
0.0,0.08,,,[144  88  74  74],[390  55  93  93],,,0.0,0.0,,,0.0,0.01,,,0.97,0.14,,,0.02,0.56,,,0.0,0.02,,,0.0,0.18,,
0.0,0.05,,,[144  88  73  73],[390  56  92  92],,,0.0,0.0,,,0.0,0.01,,,0.98,0.31,,,0.02,0.31,,,0.0,0.02,,,0.0,0.29,,
0.04,0.0,,,[389  56  89  89],[144  89  73  73],,,0.0,0.0,,,0.01,0.0,,,0.47,0.97,,,0.43,0.02,,,0.01,0.0,,,0.04,0.0,,
0.03,0.0,,,[388  59  84  84],[145  89  73  73],,,0.0,0.0,,,0.01,0.0,,,0.28,0.98,,,0.65,0.02,,,0.01,0.0,,,0.01,0.0,,
0.03,0.0,,,[384  60  83  83],[145  89  72  72],,,0.0,0.0,,,0.01,0.0,,,0.1,0.98,,,0.83,0.01,,,0.03,0.0,,,0.0,0.0,,
0.15,0.0,,,[378  60  85  85],[144  89  73  73],,,0.0,0.0,,,0.02,0.0,,,0.35,0.98,,,0.43,0.02,,,0.06,0.0,,,0.0,0.0,,
0.0,0.12,0.17,,[145  89  72  72],[369  60  83  83],[385  47 110 110],,0.0,0.0,0.0,,0.0,0.01,0.03,,0.98,0.16,0.09,,0.01,0.61,0.66,,0.0,0.1,0.05,,0.0,0.0,0.01,
0.0,0.28,,,[145  89  72  72],[382  48 110 110],,,0.0,0.0,,,0.0,0.09,,,0.98,0.16,,,0.01,0.37,,,0.0,0.07,,,0.0,0.02,,
0.0,0.23,,,[145  89  72  72],[376  46 113 113],,,0.0,0.0,,,0.0,0.12,,,0.98,0.23,,,0.02,0.2,,,0.0,0.07,,,0.0,0.15,,
0.0,0.2,,,[144  89  73  73],[376  48 109 109],,,0.0,0.0,,,0.0,0.05,,,0.99,0.19,,,0.01,0.44,,,0.0,0.08,,,0.0,0.04,,
0.0,0.24,,,[144  90  72  72],[377  49 104 104],,,0.0,0.0,,,0.0,0.05,,,0.99,0.06,,,0.01,0.49,,,0.0,0.14,,,0.0,0.02,,
0.0,,,,[145  90  72  72],,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,[147  91  70  70],,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,[149  91  69  69],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,0.28,,,[151  91  68  68],[380  53 102 102],,,0.0,0.0,,,0.0,0.06,,,1.0,0.13,,,0.0,0.39,,,0.0,0.06,,,0.0,0.08,,
0.0,,,,[154  90  68  68],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[155  90  68  68],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[154  90  68  68],,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,[155  90  68  68],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[155  90  69  69],,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,[155  91  68  68],,,,0.0,,,,0.0,,,,0.97,,,,0.02,,,,0.0,,,,0.0,,,
0.0,,,,[154  90  68  68],,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,[153  89  68  68],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[151  88  69  69],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[151  88  70  70],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[151  89  69  69],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[149  89  70  70],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[148  90  69  69],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[146  89  70  70],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[142  87  72  72],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[139  86  73  73],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[138  86  73  73],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,[138  86  72  72],,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,0.24,,,[137  86  72  72],[383  49 103 103],,,0.0,0.0,,,0.0,0.04,,,1.0,0.24,,,0.0,0.43,,,0.0,0.05,,,0.0,0.01,,
0.0,0.0,,,[138  87  73  73],[373  57  86  86],,,0.0,0.0,,,0.0,0.0,,,1.0,0.99,,,0.0,0.01,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[383  58  82  82],[140  87  72  72],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[139  87  72  72],[390  56  85  85],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[140  86  73  73],[396  55  87  87],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[141  87  73  73],[400  53  92  92],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[141  87  73  73],[403  54  91  91],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[144  88  72  72],[405  56  90  90],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[145  87  71  71],[405  54  91  91],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[146  87  70  70],[405  54  92  92],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[147  87  71  71],[405  55  90  90],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[406  56  88  88],[146  87  73  73],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[146  86  73  73],[404  55  90  90],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[148  86  72  72],[404  55  90  90],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[148  86  73  73],[404  55  89  89],,,0.0,0.0,,,0.0,0.0,,,1.0,0.99,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[149  86  73  73],[404  54  89  89],,,0.0,0.0,,,0.0,0.0,,,1.0,0.99,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,0.28,,[404  53  89  89],[151  87  72  72],[416  98  63  63],,0.0,0.0,0.01,,0.0,0.0,0.05,,0.99,1.0,0.3,,0.0,0.0,0.23,,0.0,0.0,0.08,,0.0,0.0,0.07,
0.0,0.0,,,[405  54  88  88],[151  88  72  72],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[404  52  88  88],[153  88  70  70],,,0.0,0.0,,,0.0,0.0,,,0.99,1.0,,,0.01,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[152  87  71  71],[402  48  92  92],,,0.0,0.0,,,0.0,0.0,,,1.0,0.98,,,0.0,0.02,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[154  88  70  70],[403  48  91  91],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[153  88  70  70],[402  46  92  92],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[154  89  70  70],[401  46  93  93],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[153  88  72  72],[402  49  89  89],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[153  88  71  71],[400  49  92  92],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[152  88  72  72],[398  51  93  93],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[152  87  72  72],[396  53  93  93],,,0.0,0.0,,,0.0,0.0,,,1.0,0.99,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[398  56  89  89],[151  87  72  72],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[151  89  71  71],[397  58  90  90],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[150  87  72  72],[395  57  92  92],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[149  87  72  72],[398  58  89  89],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[149  88  72  72],[395  57  91  91],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[149  88  72  72],[396  57  91  91],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[151  89  70  70],[395  57  91  91],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[151  89  71  71],[394  56  92  92],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[152  89  70  70],[393  55  93  93],,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.0,,,[153  89  70  70],[393  56  93  93],,,0.0,0.0,,,0.0,0.0,,,1.0,0.97,,,0.0,0.03,,,0.0,0.0,,,0.0,0.0,,
0.0,0.02,,,[152  89  70  70],[392  56  94  94],,,0.0,0.0,,,0.0,0.0,,,1.0,0.69,,,0.0,0.26,,,0.0,0.02,,,0.0,0.01,,
0.0,0.03,,,[151  89  71  71],[392  56  93  93],,,0.0,0.0,,,0.0,0.0,,,1.0,0.51,,,0.0,0.43,,,0.0,0.01,,,0.0,0.01,,
0.0,0.08,,,[153  89  71  71],[391  55  94  94],,,0.0,0.0,,,0.0,0.01,,,1.0,0.22,,,0.0,0.65,,,0.0,0.03,,,0.0,0.01,,
0.0,0.08,,,[153  89  71  71],[391  55  94  94],,,0.0,0.0,,,0.0,0.0,,,1.0,0.27,,,0.0,0.61,,,0.0,0.03,,,0.0,0.01,,
0.0,0.02,,,[153  89  70  70],[390  55  96  96],,,0.0,0.0,,,0.0,0.0,,,1.0,0.73,,,0.0,0.22,,,0.0,0.01,,,0.0,0.02,,
0.0,0.01,,,[155  89  70  70],[390  55  95  95],,,0.0,0.0,,,0.0,0.0,,,1.0,0.79,,,0.0,0.19,,,0.0,0.0,,,0.0,0.01,,
0.0,0.01,,,[155  88  70  70],[389  54  96  96],,,0.0,0.0,,,0.0,0.0,,,1.0,0.82,,,0.0,0.17,,,0.0,0.0,,,0.0,0.0,,
0.0,0.01,,,[154  88  71  71],[390  55  94  94],,,0.0,0.0,,,0.0,0.0,,,1.0,0.92,,,0.0,0.07,,,0.0,0.0,,,0.0,0.0,,
0.01,0.0,,,[389  55  95  95],[154  89  70  70],,,0.0,0.0,,,0.0,0.0,,,0.97,1.0,,,0.02,0.0,,,0.0,0.0,,,0.0,0.0,,
0.0,0.01,,,[155  90  69  69],[388  54  97  97],,,0.0,0.0,,,0.0,0.0,,,1.0,0.98,,,0.0,0.0,,,0.0,0.0,,,0.0,0.01,,
0.0,0.01,,,[155  90  69  69],[389  54  97  97],,,0.0,0.0,,,0.0,0.0,,,1.0,0.97,,,0.0,0.0,,,0.0,0.0,,,0.0,0.01,,
0.0,0.01,,,[154  90  70  70],[389  53  96  96],,,0.0,0.0,,,0.0,0.0,,,1.0,0.97,,,0.0,0.01,,,0.0,0.0,,,0.0,0.01,,
0.0,0.01,,,[154  90  70  70],[389  53  96  96],,,0.0,0.0,,,0.0,0.0,,,1.0,0.98,,,0.0,0.0,,,0.0,0.0,,,0.0,0.01,,
